crop,yr,planted_million_acres,harvested_million_acres,production_million_bushels,yield_bushels_per_acre,weighted_avg_farm_price_million_bushels,loan_rate_dollars_per_bushel,avg_dollars_per_bushel,,
Corn,1866,,30.02,730.81,24.3,0.66,,0.66,,
Corn,1867,,32.12,793.91,24.7,0.78,,0.78,,
Corn,1868,,35.12,919.59,26.2,0.62,,0.62,,
Corn,1869,,35.83,782.08,21.8,0.73,,0.73,,
Corn,1870,,38.39,1124.78,29.3,0.52,,0.52,,
Corn,1871,,42,1141.72,27.2,0.46,,0.46,,
Corn,1872,,43.58,1279.37,29.4,0.38,,0.38,,
Corn,1873,,44.08,1008.33,22.9,0.48,,0.48,,
Corn,1874,,47.64,1058.78,22.2,0.64,,0.64,,
Corn,1875,,52.45,1450.28,27.7,0.42,,0.42,,
Corn,1876,,55.28,1478.17,26.7,0.36,,0.36,,
Corn,1877,,58.8,1515.86,25.8,0.36,,0.36,,
Corn,1878,,59.66,1564.54,26.2,0.31,,0.31,,
Corn,1879,,62.23,1751.98,28.2,0.36,,0.36,,
Corn,1880,,62.55,1706.67,27.3,0.39,,0.39,,
Corn,1881,,63.03,1244.8,19.8,0.63,,0.63,,
Corn,1882,,66.16,1755.27,26.5,0.48,,0.48,,
Corn,1883,,68.17,1652.15,24.2,0.42,,0.42,,
Corn,1884,,68.83,1947.84,28.3,0.35,,0.35,,
Corn,1885,,71.85,2057.81,28.6,0.32,,0.32,,
Corn,1886,,73.91,1782.77,24.1,0.36,,0.36,,
Corn,1887,,73.3,1604.55,21.9,0.43,,0.43,,
Corn,1888,,77.47,2250.63,29.1,0.33,,0.33,,
Corn,1889,,77.66,2294.29,29.5,0.28,,0.28,,
Corn,1890,,74.79,1650.45,22.1,0.5,,0.5,,
Corn,1891,,78.86,2335.8,29.6,0.4,,0.4,,
Corn,1892,,76.91,1897.41,24.7,0.39,,0.39,,
Corn,1893,,79.83,1900.4,23.8,0.36,,0.36,,
Corn,1894,,80.07,1615.02,20.2,0.45,,0.45,,
Corn,1895,,90.48,2534.76,28,0.25,,0.25,,
Corn,1896,,89.07,2671.05,30,0.21,,0.21,,
Corn,1897,,89.97,2287.63,25.4,0.26,,0.26,,
Corn,1898,,87.78,2351.32,26.8,0.29,,0.29,,
Corn,1899,,94.59,2645.8,28,0.3,,0.3,,
Corn,1900,,94.85,2661.98,28.1,0.35,,0.35,,
Corn,1901,,94.42,1715.75,18.2,0.6,,0.6,,
Corn,1902,,97.18,2773.95,28.5,0.4,,0.4,,
Corn,1903,,93.56,2515.09,26.9,0.42,,0.42,,
Corn,1904,,95.23,2686.62,28.2,0.44,,0.44,,
Corn,1905,,95.75,2954.15,30.9,0.41,,0.41,,
Corn,1906,,95.62,3032.91,31.7,0.39,,0.39,,
Corn,1907,,96.09,2613.8,27.2,0.51,,0.51,,
Corn,1908,,95.29,2566.74,26.9,0.65,,0.65,,
Corn,1909,,100.2,2611.16,26.1,0.58,,0.58,,
Corn,1910,,102.27,2852.79,27.9,0.48,,0.48,,
Corn,1911,,101.39,2474.64,24.4,0.65,,0.65,,
Corn,1912,,101.45,2947.84,29.1,0.51,,0.51,,
Corn,1913,,100.21,2272.54,22.7,0.66,,0.66,,
Corn,1914,,97.8,2523.75,25.8,0.67,,0.67,,
Corn,1915,,100.62,2829.04,28.1,0.65,,0.65,,
Corn,1916,,100.56,2425.21,24.1,1.13,,1.13,,
Corn,1917,,110.89,2908.24,26.2,1.39,,1.39,,
Corn,1918,,102.2,2441.25,23.9,1.45,,1.45,,
Corn,1919,,87.49,2341.87,26.8,1.44,,1.44,,
Corn,1920,,90.15,2695.09,29.9,0.54,,0.54,,
Corn,1921,,91.94,2556.92,27.8,0.46,,0.46,,
Corn,1922,,84.86,2229.5,26.3,0.69,,0.69,,
Corn,1923,,87.49,2429.55,27.8,0.76,,0.76,,
